text,question,answer
بلغ عدد الأسر 124 أسرة كانت نسبة 32.3% منها لديها أطفال تحت سن الثامنة عشر تعيش معهم، وبلغت نسبة الأزواج القاطنين مع بعضهم البعض 82.3% من أصل المجموع الكلي للأسر، ونسبة 2.4% من الأسر كان لديها معيلات من الإناث دون وجود شريك، وكانت نسبة 15.3% من غير العائلات. تألفت نسبة 14.5% من أصل جميع الأسر من أفراد ونسبة 11.3% كانوا يعيش معهم شخص وحيد يبلغ من العمر 65 عاماً فما فوق. وبلغ متوسط حجم الأسرة المعيشية 2.90، أما متوسط حجم العائلات فبلغ 2.63.,كم نسبة الأسر التي لا يوجد بها أطفال تحت سن الثامنة عشر؟,67.7%
تشارلز إي. ستيوارت هو محامي وسياسي أمريكي، ولد في 25 نوفمبر 1810 في الولايات المتحدة، وتوفي بنفس المكان في 19 مايو 1887. حزبياً، نشط في الحزب الديمقراطي. انتخب وانتخب عضو مجلس النواب الأمريكي وانتخب عضو مجلس الشيوخ الأمريكي.,ما هو المجال الذي كان يعمل فيه تشارلز إي. ستيوارت قبل التحاقه بالسياسة؟,المحاماة
استمر العمل في الفيلم على مدار 5 أعوام كاملة، حيث بدأ تصوير الفيلم في 2009 وتوقف لأكثر من مرة لأسباب إنتاجية استمرت لأكثر من 5 سنوات، إلى أن أعلن أبطال العمل انتهاء التصوير في عام 2012، وكان من المقرر طرحه وقتها للعرض قبل أن يتم التأجيل مرة أخرى دون أي أسباب.,كم عدد سنوات استمر تصوير الفيلم؟,5 سنوات
مارتن بيرغ هو عسكري ألماني، ولد في 4 أبريل 1905 في بيسمارك في ألمانيا، وتوفي في 2 أبريل 1969 في في ألمانيا.,أين ولد مارتن بيرغ؟,في بيسمارك في ألمانيا
بلغ عدد الأسر 138 أسرة كانت نسبة 29.7% منها لديها أطفال تحت سن الثامنة عشر تعيش معهم، وبلغت نسبة الأزواج القاطنين مع بعضهم البعض 55.1% من أصل المجموع الكلي للأسر، ونسبة 5.1% من الأسر كان لديها معيلات من الإناث دون وجود شريك، وكانت نسبة 37.7% من غير العائلات. وبلغ متوسط حجم الأسرة المعيشية 3.05، أما متوسط حجم العائلات فبلغ 2.36.,ما هو حجم العائلة التي من المرجح أن تُعيلها امرأة بدون شريك؟,أقل من متوسط الأسرة
ملكة جمال الدولية 2009، هي نسخة مسابقة ملكة جمال الدولية التاسعة والأربعين في تاريخ مسابقة ملكة جمال الدولية منذ انطلاقتها عام 1960، عقدت المسابقة في 28 نوفمبر 2009 في مركز سيتشوان الدولي للتنس في تشنغدو، سيتشوان، الصين. كان من المقرر في الأصل أن تعقد المسابقة في 7 نوفمبر 2009 في البندقية ماكاو في ماكاو، لكن اللجنة المضيفة تراجعت. تنافست في هذه المسابقة 65 متسابقة على اللقب. في نهاية الحدث توجت أناغابريلا إسبينوزا من المكسيك كحامل لقب جديدة من قبل حاملة ملكة جمال السابقة ألكساندرا أندريو من أسبانيا .,كم عدد المتسابقات في ملكة جمال الدولية 2009؟,65 متسابقة
السنخ يُعزى للتجويف، نتوء السنخ التابع لعظام الفك العلوي والسفلي؛ أما الالتهاب فهو مشتق من كلمتين يونانيتين «عظم» و «التهاب».,ما العضو الذي يتصل بالسنخ؟,عظام الفك
وذلك بعد عدة سنوات من الرصد وتسجيل القياسات، وقد استنتجت سرعة ابتعاد المجرات عنا عن طريق قياس مقدار الانزياح الأحمر الذي نجده عند قياس أطياف تلك المجرات.,ما العامل المحدد لسرعة ابتعاد المجرات؟,الانزياح الأحمر
انتُخب كارتر حاكمًا لجورجيا في عام 1970، وقضى في منصبه أربع سنوات ذاع صيته خلالها في جنوب الولايات المتحدة بصفته حاكمًا تقدميًا ومعتدلًا في القضايا العرقية. بعد ملاحظة نجاح جورج ماكغفرن في الانتخابات التمهيدية للحزب الديمقراطي لعام 1972، بدأ كارتر يؤمن بإمكانية فوزه بترشيح الحزب الديمقراطي للرئاسة عام 1976 من خلال الترشح بصفته مرشحًا خارجيًا لا تجمعه أي علاقات مع السياسيين في واشنطن العاصمة. أعلن كارتر في ديسمبر 1974 ترشحه لانتخابات رئاسة الحزب الديمقراطي عام 1976 وأقسم «ألا يكذب أبدًا على الشعب الأمريكي». لم ترجح الكفة أي مرشح في الانتخابات التمهيدية للحزب الديمقراطي حينها، خاصة مع انسحاب قادة ديمقراطيين من السباق الانتخابي، مثل مرشح عام 1968 هيوبرت همفري والسيناتور والتر مونديل من مينيسوتا والسيناتور تيد كينيدي من ماساتشوستس. سعى كل من مو أودال، وسارجنت شرايفر، وبيرش بايه، وفريد آر. هاريس، وتيري سانفورد، وهنري جاكسون، ولويد بنتسن، وجورج والاس جميعًا لترشيح أنفسهم، علمًا أن العديد منهم كانوا أكثر شهرةً من كارتر.,ماذا كانت استراتيجية كارتر للفوز بترشيح الحزب الديمقراطي للرئاسة عام 1976؟,الترشح كمرشح خارجي بدون علاقات سياسية في واشنطن
وو لونغ: فولن ديناستي هي لعبة قادمة من تطوير شركة تيم نينجا ونشر شركة كوي تيكمو. من المقرر أن تصدر في 2023 على أجهزة مايكروسوفت ويندوز، بلاي ستيشن 4، بلاي ستيشن 5، إكس بوكس ون وإكس بوكس سيريس إكس وسيريس إس.,على أي منصات ستتاح لعبة وو لونغ: فولن ديناستي؟,ويندوز، بلاي ستيشن، إكس بوكس
تتألف المطرانية من عدة غرف ذات زوايا غير منتظمة، مسقوفة بعقود متصالبة ومبنية بالحجر الرملي ذو القطع الصغير. لها مدخلان: الأول يؤدي إلى البهو الرئيسي والآخر خارجي يؤدي إلى الحديقة. تم ترميمها حديثاً.,ما الغرض من المدخل الخارجي للمطرانية؟,يؤدي إلى الحديقة.
"و قد تمكن الطيار بصعوبة من توجيه نزول الطائرة نحو منطقة ذات كثافة سكانية قليلة متفاديا مناطق ذات كثافة سكانية اعلى. وأصطدمت الطائرة بالأرض بين ميلانو وبارما في قرية اسمها بيسوريكا، تقع في ضواحي بياتشينزا. ونتج عن الاصطدام، كسر هيكل الطائرة إلى جزئين. وفقا لصحيفة كوريري ديلا سيرا، فان الاصطدام كان مدمرا وعنيفا جدا بحيث ان حطام الطائرة تناثر على مساحة كبيرة تقدر بعدة كيلومترات، كما سمع صوت انفجار عنيف عقب الحادثة مباشرة وسمع صداه بوضوح في ارجاء المناطق القريبة. وادت شدة وعنف الاصطدام إلى إنشاء حفرة طولها 50 مترا (160 قدما) وبعمق 15 مترا (49 قدما). تم العثور على الجزء العلوي من الدفة على بعد 1,200 متر (3,900 قدم) من نقطة الاصطدام بينما تم العثور على اجزاء من روافع الطائرة على بعد 3,000 متر (9,800 قدم) منن نقطة الاصطدام.",أين نُشِر تقرير الاصطدام؟,صحيفة كوريري ديلا سيرا
لورا أوسوليفان (23 أغسطس 1991 بويلز في المملكة المتحدة - ) هي لاعبة كرة قدم بريطانية في مركز حراسة المرمى.,ما هو مركز لعب لورا أوسوليفان في كرة القدم؟,حراسة المرمى
الحانة هي مكان مخصص لبيع وشرب المشروبات الكحولية، بما في ذلك البيرة والمزر والويسكي والنبيذ بكل انواعه وغيرها من المشروبات سواء الكحولية منها أو الخالية من الكحول.,ما الذي لا يباع في الحانة وفق المحتوى المذكور؟,المشروبات الغير كحولية فقط
لوست لاك وودز هي منطقة سكنية تقع بولاية ميشيغان في الولايات المتحدة. تبلغ مساحتها 13.43 ، وترتفع عن سطح البحر 262 ، بلغ عدد سكانها 312 نسمة في عام 2010 حسب إحصاء مكتب تعداد الولايات المتحدة وتصل الكثافة السكانية فيها .,كم عدد سكان منطقة لوست لاك وودز في عام 2010؟,312 نسمة
ابن الحلال فيلم دراما، وجريمة مصري لعام 1951، من إخراج سيف الدين شوكت. الفيلم من بطولة فاتن حمامة، ومحسن سرحان، وتحية كاريوكا، ومحمود المليجي. الفيلم عن قصة على الزرقاني، الذي اشترك في كتابة السيناريو مع المخرج سيف الدين شوكت. يدور الفيلم حول حسن الذي ينتظر وفاة شقيقه الثري حتى يرثه، لكنه يفاجأ بعد موت أخيه أنه ترك كل ما يملك لابنه من فلاحة تزوجها سرًا، ويبدأ كل الأقارب في التخطيط للتخلص من الابن الذي يعاملهم بحب. أنتج الفيلم شركة «ممفيس فيلم»، وصدر الفيلم إلى دور العرض في 26 نوفمبر 1951. (ظهرت المطبوعات الدعائية للفيلم تشير إلى عرضه في سينما لوكس بالقاهرة في 26 يناير).,ما هو موضوع فيلم ابن الحلال؟,التلاعب بالإرث والشركاء بالخلافة
ساغاميهارا هي مدينة يابانية تقع في محافظة كاناغاوا. تعدّ ثالث أكبر مدينة من حيث تعداد السكان في محافظة كاناغاوا بعد يوكوهاما وكاواساكي. وخامس أكبر تجمع سكاني في طوكيو الكبرى.,ما هي ترتيب ساغاميهارا من حيث التجمعات السكانية في طوكيو الكبرى؟,خامس أكبر تجمع سكاني
هو واسطي الأصل ونزل الكوفة ومات بها واشتهرت نسبته إليها، قال الحافظ ابن حجر: «الواسطي الأصل أبو بكر بن أبي شيبة الكوفي»، أصله من واسط وسكن الكوفة، ويقال له العبسي بموحدة مولاهم كما في الخلاصة وكذا نسبه إلى عبس نسبة ولاء.,ما اسم ابن أبي شيبة الكوفي؟,أبو بكر.
تحسينات أوبن بي.إس.دي الأمنية وتشفيره المبيّت وحزمة جدار ناري pf الموجودة فيه تؤهله للاستخدام في صناعة الأمن، لا سيما في جدران النار وأنظمة اكتشاف الدخلاء وبوابات الشبكات الافتراضية الخاصة. يُستخدم أيضاً في الخوادم التي يجب أن تقاوم أعمال القرصنة وهجمات رفض الخدمة، وبسبب تضمينه عفريت مضاد البريد المزعج (spamd)، يُستخدم أيضاً في تطبيقات تصفية البريد الإلكتروني.,ما دور عفريت مضاد البريد المزعج في أوبن بي.إس.دي؟,تصفية البريد الإلكتروني ومنع البريد المزعج
الجذفرة هي إحدى قرى عزلة المحفد بمديرية المحفد التابعة لمحافظة أبين، بلغ تعداد سكانها 30 نسمة حسب تعداد اليمن لعام 2004.,ما هي المحافظة التي تتبع لها الجذفرة؟,محافظة أبين.
مقاطعة مارينيت هي إحدى مقاطعات ولاية ويسكونسن في الولايات المتحدة. تأسست سنة 1879، وتبلغ مساحتها ، بلغ عدد سكانها 41749 نسمة في عام 2010 حسب إحصاء مكتب تعداد الولايات المتحدة .,كم عدد سكان مقاطعة مارينيت في عام 2010؟,41749 نسمة.
كباقي كويكبات معسكر الإغريق يقع مداره في النقطة L4 من نقاط لاغرانج وفق نظام الشمس - المشتري. يبلغ القدر المطلق لهذا الكويكب 13.7 ونصف المحور الرئيسي لمداره 5.298 وحدة فلكية. وقد تم رصده 6 مرة حتى شباط/فبراير 2013. الإشارة المرجعية له وفق الملحق الدوري لمدارات الكويكبات هي MPO220912,ما هو القدر المطلق لكويكب معسكر الإغريق؟,13.7
بلغ عدد الأسر 439 أسرة كانت نسبة 39.4% منها لديها أطفال تحت سن الثامنة عشر تعيش معهم، وبلغت نسبة الأزواج القاطنين مع بعضهم البعض 66.3% من أصل المجموع الكلي للأسر، ونسبة 11.2% من الأسر كان لديها معيلات من الإناث دون وجود شريك، بينما كانت نسبة 4.3% من الأسر لديها معيلون من الذكور دون وجود شريكة وكانت نسبة 18.2% من غير العائلات. تألفت نسبة 14.4% من أصل جميع الأسر من عدة أفراد يعيشون في نفس المنزل ونسبة 5.5% كانت تتألف من شخص يعيش بمفرده يبلغ من العمر 65 عاماً أو أكثر. وبلغ متوسط حجم الأسرة المعيشية 2.86، أما متوسط حجم العائلات فبلغ 3.16.,ما متوسط حجم العائلات في السكن العام؟,3.16
فيليب بنجامين بالدوين هو قاضي أمريكي، ولد في 23 ديسمبر 1924 في مارشال في الولايات المتحدة، وتوفي في 20 أبريل 2002 في شريفبورت في الولايات المتحدة.,أين كانت بداية حياة قاضي أمريكي شهير بمارشال؟,فيليب بالدوين
في اللابؤرية ذو الدرجة الثالثة، تشكل الأشعة السهمية والعرضية بؤر على مسافات مختلفة على طول المحور البصري. وتسمى هاتان البؤرتان بالبؤرة السهمية والبؤرة العرضية، على الترتيب.,ما هي البؤرة التي تكون على مسافة مختلفة على طول المحور البصري؟,البؤر التالية والعرضية
لعب ساب كرة القدم الأمريكية الجامعية كحارس لفريق (Washington Huskies football) الذين فاز معهم بكأس موريس . لعب في الجولة الثالثة من مشروع NFL لعام 1997 من قبل شيكاغو بيرز الذي لعب معه لموسم واحد ثم لعب مع مينيسوتا فايكنج لموسمين آخرين، ولعب في مباراة واحدة فقط.,ما هو الفريق الذي لعب ساب معه بكأس موريس؟,فريق Washington Huskies football
مصاهرة هي قرابة ناتجة بسبب الزواج، لا عن طريق نسب قال الله تعالى .مثل : زوج الابنة، زوج الأخت، أهل الزَّوجة كالأبوين والأخوين والأخوال والأعمام والخالات.,من يعتبر أهل الزوجة؟,الأبوين، الأخوين، الأخوال، الأعمام، الخالات.
يرتبط الفن والرياضيات بطرق مختلفة، وُصفت الرياضيات بذاتها على أنها فنٌ يُحفزه الجمال. يمكن تمييز الرياضيات في الفنون مثل الموسيقى والرقص والرسم والعمارة والنحت والمنسوجات. تُركز هذه المقالة على الرياضيات في الفنون البصرية.,ما هي التركيزات الرئيسية في المقالة؟,الرياضيات في الفنون البصرية
صُنّفت رواية سباحة طائرين على أنها من نوع مينيبين التهكمي. تعرض أوبرين لتقاليد المينيبين من خلال الأدب المعاصر والذي كان معروفًا عنه إعجابه بهذا النوع، بما في ذلك أعمال جيمس جويس، وآلدوس هيوكسلي، وسورين كيركجارد، وجيمس برانش كابيل، ولكنه أيضًا صادف هذا النوع في أثناء دراسته للأدب الأيرلندي في العصور الوسطى؛ وصف التهكم الأيرلندي الأوسط إيسلنغ ميك كون غلين بأنه «أفضل عمل للمحاكاة الساخرة في اللغة الأيرلندية».,من أي نوع الرواية سباحة طائرين؟,مينيبين التهكمي.
آذار، الفوز (الزوف، الحمامة (كفر دبين)، الحسانية (هتيا)، الجانودية، جديدة الجسر، الملند، المضيئة (لوكسين)، الناصرة، القادرية (قيقون)، القنية، الطيبة (كترين)، اليعقوبية.,ما هي ظاهرة بالزوف؟,الفوز.
الجموع السالمة أو جموع التصحيح هي جمع سَلِمَ وصَحَّ مُفردُهُما من التغيير عند جمعه - على عكس جمع التكسير الذي تتغير صورة مفرده بزيادة أو نقص في الحروف أو تغيير الحركات عند جمعه - وتنقسم جموع التصحيح لقسمين جمع مذكر سالم وجمع مؤنث سالم؛ في جمع المذكر السالم يُضاف على المفرد إما واو ونون في حالة الرفع أو ياء ونون في حالتي النصب والجر، وفي جمع المؤنث السالم يُضاف على المفرد ألف وتاء، ويُلحَق بجمع المذكر السالم في إعرابه ألفاظ منها: بنون، وأهلون، وسُنُون، وأُولو، عليون، وعالمون، وألفاظ العقود وهي: عشرون، وثلاثون إلى التسعين. أما جمع المؤنث السالم فيُلحق به كلمة (أُولات) بمعنى: صاحبات، فإنها اسمُ جمع وليست جمعًا إذ لا واحد لها من لفظها، وبعض أحكام جمع المؤنث السالم: إذا كان الاسم المفرد المؤنث ثلاثيًّا صحيح العينِ ساكنها غير مُضَعَّفِها، فإن كان مفتوح الفاء وجب فتحُ عينه عند الجمع. أما إذا مضموم الفاء أو مكسورها، جازَ في عينهِ الفتحُ، أو الإتباع لحركة الفاء أو التسكين,كيف يتم جمع المؤنث السالم؟,يُضاف إليه ألف وتاء، ويُلحَق بكلمة 'أُولات'.
افتتح في يوم 1 كانون الأول 2021. لقد غير الملعب اسمه ثلاث مرات. في البداية أطلق عليه اسم «ملعب مدينة الصدر» ولكن وزارة الشباب والرياضة قررت في عام 2017 تسميته «ملعب الحبيبية» نسبةً إلى منطقة الحبيبية التي يقع فيها الملعب. أخيرًا، في أوائل كانون الأول 2019، تم اختيار اسم «ملعب الشهداء» تكريماً لشهداء مظاهرات تشرين. ثم غير اسم الملعب مرة أخرى إلى «ملعب المدينة الدولي» ليستقر على هذا الاسم ويفتتح به.,متى تم افتتاح الملعب بشكل نهائي تحت اسم 'ملعب المدينة الدولي'؟,أوائل كانون الأول 2019
الفجر مسلسل يمني اجتماعي من إنتاج التلفزيون اليمني، وتأليف أحمد الحملي، وإخراج ناصر أبوبكر العولقي،عبد الحكيم الحكيمي، يحكي عن عصر الإمام يحيى حميد الدين والإمام أحمد يحيى حميد الدين المتسم بالظلم والقسوة حتى الوصول إلى قيام الثورة اليمنية في السادس والعشرين من سبتمبر 1962م، ولعل أشهر شخصيات المسلسل بل أشهر شخصية عرضت على التلفزيون اليمني كانت شخصية (بركتنا) في هذا المسلسل والتي قام بتمثيلها الفنان محمد الضلعي.,من هو الشخصية الأكثر شهرة في مسلسل الفجر اليمني؟,بركتنا التي قام بتمثيلها محمد الضلعي
بدأ مسيرته الكروية مع نادي يوفنتوس، وفي عام 2000 أعير إلى نادي كروتوني، ولعب معهم حتى عام 2002، وشارك معهم في 51 مباراة وسجل 8 أهداف، وفي موسم 2002-2003 أعير إلى نادي مودينا، ولعب معهم 31 مباراة وسجل 8 أهداف، وفي موسم 2003-2004 اشترى نادي كييفو فيرونا نصف عقده، ولعب معهم 18 مباراة وسجل هدفين، وفي موسم 2004-2005 أعير إلى نادي بريشا، ولعب معهم 28 مباراة، وفي موسم 2005-2006 أعير إلى نادي ميسينا، ولعب معهم 33 مباراة وسجل هدفين، وفي موسم 2006-2007 أعير إلى نادي جنوى، ولعب معهم 11 مباراة وسجل 4 أهداف.,مع أي نادي حقق اللاعب أفضل معدل تهديفي؟,نادي جنوى
طواف ألميريا 2020 هو سباق دراجات هوائية، وهو الموسم رقم 35 من السباق، وأقيم في 16 فبراير 2020، وامتدّ لمسافة 187.6 كيلومتر، وهو أحد سباقات سلسلة سباقات الاتحاد الدولي للدراجات للمحترفين 2020، وهو من نوع سباق يوم واحد، وقد شارك في السباق 138 متسابقاً ووصل إلى نهايته 120 متسابقاً.,متى أقيم سباق طواف ألميريا 2020؟,16 فبراير 2020
مجلة بانشر هي مجلة مصرية مترجمة بتصريح من شركة مارفل كوميكس، تصدر عن شركة قطان للتجارة لصاحبها عبد العزيز قطان، وتوزع في القاهرة عن دار الشام بشارع عباس العقاد، مستشار التحرير عادل البطراوي. الإخراج الفني مادلين رياض، الترجمة لسعيد أبو غزالة، توجه المجلة إلى سن 9 إلى 18 سنة، هناك مقدمة في كل عدد تشير إلى صفات بانشر بطل المجلة الذي يتعقب المجرمين بعد أن قتلوا أسرته، وتعتمد المجلة على قصته الكرتونية ونشرها كاملة,من هو بطل مجلة بانشر؟,بانشر بطل المجلة
حصل على شهادة البكالوريوس في الأدب الإنجليزي من جامعة اليرموك عام 1988، ثم حصل على دبلومة في الكتابة الصحفية المتقدمة من معهد ثومسون فاونديشن للدراسات بجامعة كارديف في ويلز، المملكة المتحدة عام 2000.,في أي عام حصل على شهادة البكالوريوس في الأدب الإنجليزي؟,1988
ماساهيكو كوبه (باليابانية: 神戸勝彦؛ بالكانا: こうべ まさひこ) هو طاهي ياباني، ولد في 15 أكتوبر 1969 في ياماناشي في اليابان، وتوفي في 14 مارس 2019 في طوكيو في اليابان.,في أي مدينة توفي ماساهيكو كوبه؟,طوكيو
تصنع العملة المعدنية من سبيكة ذهب نوردي. يبلغ قطرها 24.25 ملم، وسمكها 2.38 ملم وكتلها 7.8 جرام. الحافة مزودة بأخاديد سميكة. يتم ضرب العملة بضربة ميدالية، مما يعني أن جانبي العملة يظهران في نفس الاتجاه إذا تم تدويرهما على محورها العمودي . يتم إصدار العملة بعكس مشترك لجميع الدول التي تصدر عملات اليورو وعملات وطنية تختارها الدولة المصدرة وفقًا للمواصفات الصادرة عن السلطات الأوروبية.,ما الذي يشترك فيه جميع عملات اليورو؟,العكس المشترك
وهو شغل منصب الأمين عام الجماعة الإسلامية في لبنان، ورئيس بيت الدعوة والدعاة منذ تأسيسه سنة 1990 وعضو اللجنة الإدارية للمؤتمر القومي الإسلامي.,ما هي وظيفة رئيس بيت الدعوة والدعاة؟,رئيس بيت الدعوة والدعاة
سراي هي قرية تقع في Khorram Dasht Rural District في إيران. يقدر عدد سكانها بـ 83 نسمة بحسب إحصاء 2016.,أين تقع قرية سراي؟,في Khorram Dasht Rural District، إيران
تلى ذلك اعتراف الولايات المتحدة بالبعثة الدبلوماسية المعينة من قبل الائتلاف الوطني لقوى الثورة والمعارضة السورية في 5 أيار / مايو 2014.,متى اعترفت الولايات المتحدة بالبعثة الدبلوماسية السورية؟,في ٥ مايو ٢٠١٤.
توفر مورد للمعلومات وفرص التعليم المستمر والمنشورات والخصومات على المنتجات الشخصية والمهنية والبرامج والخدمات. وتشير الجمعية على أن ضغطها السياسي من أجل تشاريع ودية مع الحيوان ضمن إطار يدعم استخدام الحيوانات لأغراض الإنسان (على سبيل المثال: الغذاء والبحوث والرفقة).,ماذا تقدم الجمعية لأعضائها؟,فرص التعليم والخصومات على المنتجات
"نوع آخر من التراكيب الجغرافية يمكن العثور عليه في الأراضي المنخفضة بشكل أحزمة صلدة ترتفع عدة أمتار عن السطح بعرض عدة مئات من الكيلومترات وطول يصل إلى ألوف الكيلومترات، منطقتان تحتوي على أعلى تركيز من هذه الأحزمة وهما: «سهول لافينيا؛""Lavinia Planitia""» قرب القطب الجنوبي والثانية «سهول اتالانتا؛""Atalanta Planitia""» بالقرب من القطب الشمالي للكوكب.",ما هي خصائص التراكيب الجغرافية الموجودة على المريخ؟,أحزمة صلدة طويلة العرض والطول
يحتوي القصر على 40 غرفة بأرضية من الرخام، وسقف كان من القضبان الحديدية وليست عروق خشبية، وشبابيك بزجاج ملون وأشكال مختلفة، ويضم حديقة كانت تقارب مساحتها الفدان وتتوسطها ساقية تروي أشجار الثمار والفاكهة والزهور المتفتحة في فصل الربيع القصر ذو المعمار الفريد من نوعه يتكون من طابقين، الطابق السفلي وبه مكان الاستقبال وغرفة على اليمين وأخرى على اليسار.,كيف كانت أرضية القصر مصنوعة؟,من الرخام
التي اعتُمدت إلى حد كبير بواسطة الهندسة المعمارية الرومانية التي ما تزال تتّبع في بعض المباني الحديثة. استخدمت أساسيات زخرفة مماثلةً للزخارف الموجودة في الفخار والأشغال المعدنية وغيرها من الفنون، وكان لها تأثير هائل على الفن الأوراسي، بالأخص بعد أن حملتها البوذية إلى ما وراء العالم اليوناني الموسع الذي أنشأه الإسكندر الأكبر. ولا يخفى على أحد ما تضمنه السياق الاجتماعي للفن اليوناني الذي شمل تطورات سياسية جذرية وزيادة كبيرة في الازدهار، بالإضافة إلى أن المنجزات اليونانية كانت مؤثرة بنفس القدر في مجال الفلسفة والأدب والميادين الأخرى.,كيف أثرت الهندسة الرومانية على البناء الحديث؟,اعتمدت بعض أساسياتها.
وتوزع التركيب العرقي للمدينة بنسبة 68.14% من البيض و16.93% من الأمريكيين الأفارقة و0.62% من الأمريكيين الأصليين و2.08% من الأمريكيين ذوي الأصول الآسيوية و0.14% من سكان جزر المحيط الهادئ و8.75% من الأعراق الأخرى و3.35% من عرقين مختلطين أو أكثر و23.74% من الهسبانيون أو اللاتينيون من أي عرق.,ما نسبة الأمريكيين ذوي الأصول الآسيوية في التركيب العرقي؟,2.08%
تجارب أخرى مختلفة باستخدام الساعات الذرية جرافيميترز بدلا من البندول سجلت أيضا آثار الجاذبية الشاذة الهامة التي يمكن أن لا يكون ناجما عن تأثير المد والجزر أو الانجراف من جرافيميترز، ولا من الضوضاء عالية التردد التي لديها أنماط خاصة. وضعت هذه التجارب من قبل فرق مختلفة خلال كسوف الشمس في الصين في عام 1992، الهند في عام 1995، والصين في عام 1997,متى تمت تجارب تسجيل الجاذبية الشاذة باستخدام الجرافيميترز؟,خلال كسوف الشمس في الصين والهند في التسعينيات.
منتخب بيلاروسيا الوطني لهوكي الجليد هو منتخب وطني يمثل بيلاروسيا في منافسات هوكي الجليد الدولية، بدأ منافساته في سنة 1992، نافس في بطولة العالم لهوكي الجليد 20 مرة، كما نافس في الألعاب الأولمبية الشتوية 3 مرات، يحتل حالياً التصنيف الرابع عشر على العالم.,كم مرة شارك منتخب بيلاروسيا في بطولة العالم لهوكي الجليد؟,شارك ٢٠ مرة
ولدت لويز في لينش بولاية كنتاكي . درست علم الأحياء الدقيقة والصحة العامة في جامعة كنتاكي ، وحصلت على درجتي البكالوريوس والماجستير. بعد انتقالها إلى نيويورك والانخراط في السياسة كعضو في الحزب الديمقراطي ، تم انتخابها لشغل مقعد في جمعية ولاية نيويورك في عام 1982 ومجلس النواب الأمريكي في عام 1986. تمثل لويز روتشستر ومعظم مقاطعة مونرو المحيطة بها ؛ مثلت المنطقة الثلاثين من عام 1987 إلى عام 1993 ، والمنطقة الثامنة والعشرين من عام 1993 إلى عام 2013 ، والمنطقة الخامسة والعشرين من عام 2013 حتى وفاتها ، وغالبًا ما كانت تعمل كعالمة الأحياء الدقيقة الوحيدة في الكونغرس.,ما هي مسار حياة لويز روتشستر؟,درست علم الأحياء وانخرطت في السياسة.
الشريف بن حبيليس بالفرنسية Chérif Benhabiles هو أول كاتب جزائري يكتب باللغة الفرنسية ولد سنة 1885 في ولاية قسنطينة شرق الجزائر العاصمة لعائلة قسنطينية عريقة ومثقفة وهذا ما يظهر جليا في مؤلفاته,كيف يمكن وصف أصول عائلة الشريف بن حبيليس؟,قسنطينية عريقة ومثقفة
كوثر حفيظي (مواليد سنة 1973) هي باحثة فيزيائية مغربية، ومديرة قسم الفيزياء في مختبر أرجون الوطني في الولايات المتحدة منذ عام 2017، لتصبح أول امرأة تشغل هذا المنصب.,متى بدأت كوثر حفيظي إدارة قسم الفيزياء في مختبر أرجون؟,عام 2017
هذه العوامل الملائمة جعلت المنطقة محط استقرار بشري منذ الألف الأول قبل الميلاد ولعل أبرز شاهد تلك البقايا الأثرية البونية والرومانية التي لا تزال قائمة في محيط المدينة.,ما الذي جعل المنطقة محط استقرار بشري منذ الألف الأول قبل الميلاد؟,العوامل الملائمة
تم إنشاء محتوى البرنامج الخاص بـ ليبستر الأصلي باستخدام ماكروميديا فلاش ام اكس 2004 ؛ يشغل الجهاز إصدارًا من أدوبي فلاش بلاير تم نقله إلى ليبستر، وهو مرخص لـ LeapFrog. قال توم بريشارد، نائب الرئيس الأول للتسويق في Leapfrog ، إنه يعتقد أن استخدام فلاش أتاح لهم «إعادة تشغيل نظام ليبستر بشكل أسرع مما يمكن أن يكون لدينا بأي طريقة تطوير أخرى».,ماذا قال توم بريشارد حول استخدام فلاش؟,إعادة تشغيل نظام ليبستر بشكل أسرع
استخدم جويا الألوان الزيتية لرسم اللوحات على جدران غرفتي الطعام والجلوس في منزله، واحتوت الرسومات على مواضيع خيالية كئيبة. لم تكن اللوحات بتكليف من أحد، ومن المرجح أن جويا لم يكن ينوي عمل معرض خاص بلوحاته السوداء؛ وإنما رسمها جويا لنفسه. لم يطلق جويا أية أسماء على لوحاته السوداء؛ لذلك تمت تسمية مجموعة اللوحات بواسطة المؤرخين الفنيين.,لماذا تمت تسمية مجموعة اللوحات بواسطة المؤرخين الفنيين؟,لعدم تسميتها من قبل جويا
تم العثور على مخلوق مجهول غريب الشكل في نورثفيل، نيويورك، وقال الطالب الذي اكتشفه أنه «يشبه الوحش مونتوك في عدة نواحي». وعثر على مخلوق مماثل أطلق عليه اسم على وحش إيست ريفر تحت جسر بروكلين، في نهر إيست في مدينة نيويورك.,ما هي البلدة التي عُثر فيها على المخلوق المجهول؟,نورثفيل، نيويورك
أضف لذلك، أن شركة نوبل إنرجي تقوم بين الفينة والأخرى بالدخول للمياه المصرية للقيام بحفر استكشافي، لا نعرف من يصرح لها به.,من يصرح لشركة نوبل إنرجي بدخول المياه المصرية؟,غير معروف
